uf,ano,valor,regiao
Goiás,2007,2428428.0,Centro-Oeste
Distrito Federal,2007,1035290.0,Centro-Oeste
Rondônia,2008,670070.0,Norte
Acre,2008,379638.0,Norte
Amazonas,2008,1647149.0,Norte
Roraima,2008,203350.0,Norte
Pará,2008,3856972.0,Norte
Amapá,2008,319122.0,Norte
Tocantins,2008,625972.0,Norte
Maranhão,2008,3335303.0,Nordeste
Piauí,2008,1340657.0,Nordeste
Ceará,2008,3408148.0,Nordeste
Rio Grande do Norte,2008,1169816.0,Nordeste
Paraíba,2008,1554440.0,Nordeste
Pernambuco,2008,3657438.0,Nordeste
Alagoas,2008,1306284.0,Nordeste
Sergipe,2008,879278.0,Nordeste
Bahia,2008,5676499.0,Nordeste
Minas Gerais,2008,7066647.0,Sudeste
Espírito Santo,2008,1312947.0,Sudeste
Rio de Janeiro,2008,5418391.0,Sudeste
São Paulo,2008,14273089.0,Sudeste
Paraná,2008,3806543.0,Sul
Santa Catarina,2008,2073138.0,Sul
Rio Grande do Sul,2008,3417420.0,Sul
Mato Grosso do Sul,2008,974861.0,Centro-Oeste
Mato Grosso,2008,1225930.0,Centro-Oeste
Goiás,2008,2322350.0,Centro-Oeste
Distrito Federal,2008,1000883.0,Centro-Oeste
Rondônia,2009,681503.0,Norte
Acre,2009,390602.0,Norte
Amazonas,2009,1703841.0,Norte
Roraima,2009,225293.0,Norte
Pará,2009,3699454.0,Norte
Amapá,2009,354299.0,Norte
Tocantins,2009,629942.0,Norte
Maranhão,2009,3299816.0,Nordeste
Piauí,2009,1344452.0,Nordeste
Ceará,2009,3436035.0,Nordeste
Rio Grande do Norte,2009,1208269.0,Nordeste
Paraíba,2009,1576092.0,Nordeste
Pernambuco,2009,3740084.0,Nordeste
Alagoas,2009,1393230.0,Nordeste
Sergipe,2009,873594.0,Nordeste
Bahia,2009,5812462.0,Nordeste
Minas Gerais,2009,7223274.0,Sudeste
Espírito Santo,2009,1327848.0,Sudeste
Rio de Janeiro,2009,5589928.0,Sudeste
São Paulo,2009,14739743.0,Sudeste
Paraná,2009,3934622.0,Sul
Santa Catarina,2009,2135501.0,Sul
Rio Grande do Sul,2009,3480942.0,Sul
Mato Grosso do Sul,2009,1023854.0,Centro-Oeste
Mato Grosso,2009,1232897.0,Centro-Oeste
Goiás,2009,2351035.0,Centro-Oeste
Distrito Federal,2009,1002519.0,Centro-Oeste
Rondônia,2010,647582.0,Norte
Acre,2010,375827.0,Norte
Amazonas,2010,1658753.0,Norte
Roraima,2010,216961.0,Norte
Pará,2010,3535221.0,Norte
Amapá,2010,318085.0,Norte
Tocantins,2010,599042.0,Norte
Maranhão,2010,3420909.0,Nordeste
Piauí,2010,1274272.0,Nordeste
Ceará,2010,3358407.0,Nordeste
Rio Grande do Norte,2010,1176268.0,Nordeste
Paraíba,2010,1547527.0,Nordeste
Pernambuco,2010,3579686.0,Nordeste
Alagoas,2010,1310661.0,Nordeste
Sergipe,2010,851030.0,Nordeste
Bahia,2010,5651502.0,Nordeste
Minas Gerais,2010,7414886.0,Sudeste
Espírito Santo,2010,1318686.0,Sudeste
Rio de Janeiro,2010,5397199.0,Sudeste
São Paulo,2010,14671666.0,Sudeste
Paraná,2010,3911435.0,Sul
Santa Catarina,2010,2158029.0,Sul
Rio Grande do Sul,2010,3411391.0,Sul
Mato Grosso do Sul,2010,993508.0,Centro-Oeste
Mato Grosso,2010,1151191.0,Centro-Oeste
Goiás,2010,2274623.0,Centro-Oeste
Distrito Federal,2010,977874.0,Centro-Oeste
Rondônia,2011,435345.0,Norte
Acre,2011,257132.0,Norte
Amazonas,2011,1090240.0,Norte
Roraima,2011,146403.0,Norte
Pará,2011,2159285.0,Norte
Amapá,2011,200416.0,Norte
Tocantins,2011,393544.0,Norte
Maranhão,2011,1938353.0,Nordeste
Piauí,2011,790815.0,Nordeste
Ceará,2011,1973183.0,Nordeste
Rio Grande do Norte,2011,715550.0,Nordeste
Paraíba,2011,894610.0,Nordeste
Pernambuco,2011,2264640.0,Nordeste
Alagoas,2011,736926.0,Nordeste
Sergipe,2011,530191.0,Nordeste
Bahia,2011,3319588.0,Nordeste
Minas Gerais,2011,4334695.0,Sudeste
Espírito Santo,2011,818355.0,Sudeste
Rio de Janeiro,2011,3271147.0,Sudeste
São Paulo,2011,9151228.0,Sudeste
Paraná,2011,2415754.0,Sul
Santa Catarina,2011,1322747.0,Sul
Rio Grande do Sul,2011,1972214.0,Sul
Mato Grosso do Sul,2011,647692.0,Centro-Oeste
Mato Grosso,2011,762483.0,Centro-Oeste
Goiás,2011,1515006.0,Centro-Oeste
Distrito Federal,2011,582929.0,Centro-Oeste
Rondônia,2012,427785.0,Norte
Acre,2012,240469.0,Norte
Amazonas,2012,1149204.0,Norte
Roraima,2012,134478.0,Norte
Pará,2012,2120596.0,Norte
Amapá,2012,201291.0,Norte
Tocantins,2012,364498.0,Norte
Maranhão,2012,1834049.0,Nordeste
Piauí,2012,767241.0,Nordeste
Ceará,2012,1875068.0,Nordeste
Rio Grande do Norte,2012,700617.0,Nordeste
Paraíba,2012,815971.0,Nordeste
Pernambuco,2012,2122509.0,Nordeste
Alagoas,2012,747338.0,Nordeste
Sergipe,2012,503959.0,Nordeste
Bahia,2012,3222132.0,Nordeste
Minas Gerais,2012,3998586.0,Sudeste
Espírito Santo,2012,783980.0,Sudeste
Rio de Janeiro,2012,3034612.0,Sudeste
São Paulo,2012,8821199.0,Sudeste
Paraná,2012,2330836.0,Sul
Santa Catarina,2012,1277068.0,Sul
Rio Grande do Sul,2012,1861452.0,Sul
Mato Grosso do Sul,2012,639969.0,Centro-Oeste
Mato Grosso,2012,754284.0,Centro-Oeste
Goiás,2012,1375687.0,Centro-Oeste
Distrito Federal,2012,615304.0,Centro-Oeste
Rondônia,2013,487788.0,Norte
Acre,2013,240916.0,Norte
Amazonas,2013,1173912.0,Norte
Roraima,2013,137917.0,Norte
Pará,2013,2217128.0,Norte
Amapá,2013,235158.0,Norte
Tocantins,2013,419059.0,Norte
Maranhão,2013,2049197.0,Nordeste
Piauí,2013,830563.0,Nordeste
Ceará,2013,2162076.0,Nordeste
Rio Grande do Norte,2013,739553.0,Nordeste
Paraíba,2013,963126.0,Nordeste
Pernambuco,2013,2334099.0,Nordeste
Alagoas,2013,840673.0,Nordeste
Sergipe,2013,600576.0,Nordeste
Bahia,2013,3568011.0,Nordeste
Minas Gerais,2013,4784266.0,Sudeste
Espírito Santo,2013,882253.0,Sudeste
Rio de Janeiro,2013,3452853.0,Sudeste
São Paulo,2013,10297960.0,Sudeste
Paraná,2013,2728430.0,Sul
Santa Catarina,2013,1467668.0,Sul
Rio Grande do Sul,2013,2326594.0,Sul
Mato Grosso do Sul,2013,792827.0,Centro-Oeste
Mato Grosso,2013,882673.0,Centro-Oeste
Goiás,2013,1637161.0,Centro-Oeste
Distrito Federal,2013,858143.0,Centro-Oeste
Rondônia,2014,664623.0,Norte
Acre,2014,254867.0,Norte
Amazonas,2014,1546920.0,Norte
Roraima,2014,223255.0,Norte
Pará,2014,2577588.0,Norte
Amapá,2014,291264.0,Norte
Tocantins,2014,520696.0,Norte
Maranhão,2014,2506954.0,Nordeste
Piauí,2014,929808.0,Nordeste
Ceará,2014,3097412.0,Nordeste
Rio Grande do Norte,2014,976055.0,Nordeste
Paraíba,2014,1185760.0,Nordeste
Pernambuco,2014,3098012.0,Nordeste
Alagoas,2014,1124168.0,Nordeste
Sergipe,2014,733179.0,Nordeste
Bahia,2014,4552090.0,Nordeste
Minas Gerais,2014,5908170.0,Sudeste
Espírito Santo,2014,1221179.0,Sudeste
Rio de Janeiro,2014,4792974.0,Sudeste
São Paulo,2014,13755784.0,Sudeste
Paraná,2014,3393790.0,Sul
Santa Catarina,2014,2047870.0,Sul
Rio Grande do Sul,2014,2980144.0,Sul
Mato Grosso do Sul,2014,1186794.0,Centro-Oeste
Mato Grosso,2014,1204418.0,Centro-Oeste
Goiás,2014,2068419.0,Centro-Oeste
Distrito Federal,2014,1000131.0,Centro-Oeste
Rondônia,2015,692060.0,Norte
Acre,2015,294119.0,Norte
Amazonas,2015,1721877.0,Norte
Roraima,2015,261569.0,Norte
Pará,2015,2121121.0,Norte
Amapá,2015,317476.0,Norte
Tocantins,2015,500465.0,Norte
Maranhão,2015,2470155.0,Nordeste
Piauí,2015,843986.0,Nordeste
Ceará,2015,3090798.0,Nordeste
Rio Grande do Norte,2015,955413.0,Nordeste
Paraíba,2015,1091866.0,Nordeste
Pernambuco,2015,3270650.0,Nordeste
Alagoas,2015,1114133.0,Nordeste
Sergipe,2015,714208.0,Nordeste
Bahia,2015,4326712.0,Nordeste
Minas Gerais,2015,5849587.0,Sudeste
Espírito Santo,2015,1220295.0,Sudeste
Rio de Janeiro,2015,4947569.0,Sudeste
São Paulo,2015,13859265.0,Sudeste
Paraná,2015,3425656.0,Sul
Santa Catarina,2015,2066422.0,Sul
Rio Grande do Sul,2015,2808159.0,Sul
Mato Grosso do Sul,2015,1097563.0,Centro-Oeste
Mato Grosso,2015,1218562.0,Centro-Oeste
Goiás,2015,2012864.0,Centro-Oeste
Distrito Federal,2015,732494.0,Centro-Oeste
Rondônia,2016,619782.0,Norte
Acre,2016,259444.0,Norte
Amazonas,2016,1404249.0,Norte
Roraima,2016,223781.0,Norte
Pará,2016,1986047.0,Norte
Amapá,2016,309878.0,Norte
Tocantins,2016,473930.0,Norte
Maranhão,2016,1768910.0,Nordeste
Piauí,2016,766717.0,Nordeste
Ceará,2016,2772563.0,Nordeste
Rio Grande do Norte,2016,715152.0,Nordeste
Paraíba,2016,933768.0,Nordeste
Pernambuco,2016,2643965.0,Nordeste
Alagoas,2016,871125.0,Nordeste
Sergipe,2016,550085.0,Nordeste
Bahia,2016,3231420.0,Nordeste
Minas Gerais,2016,5192087.0,Sudeste
Espírito Santo,2016,1018857.0,Sudeste
Rio de Janeiro,2016,4269415.0,Sudeste
São Paulo,2016,10615615.0,Sudeste
Paraná,2016,2978313.0,Sul
Santa Catarina,2016,1789983.0,Sul
Rio Grande do Sul,2016,2601252.0,Sul
Mato Grosso do Sul,2016,937525.0,Centro-Oeste
Mato Grosso,2016,1117107.0,Centro-Oeste
Goiás,2016,1808414.0,Centro-Oeste
Distrito Federal,2016,1331740.0,Centro-Oeste
Rondônia,2017,580329.0,Norte
Acre,2017,265563.0,Norte
Amazonas,2017,1412102.0,Norte
Roraima,2017,223177.0,Norte
Pará,2017,2067185.0,Norte
Amapá,2017,240586.0,Norte
Tocantins,2017,496697.0,Norte
Maranhão,2017,1804725.0,Nordeste
Piauí,2017,794144.0,Nordeste
Ceará,2017,2527779.0,Nordeste
Rio Grande do Norte,2017,651844.0,Nordeste
Paraíba,2017,946139.0,Nordeste
Pernambuco,2017,2454143.0,Nordeste
Alagoas,2017,905807.0,Nordeste
Sergipe,2017,562373.0,Nordeste
Bahia,2017,3317966.0,Nordeste
Minas Gerais,2017,5320343.0,Sudeste
Espírito Santo,2017,980208.0,Sudeste
Rio de Janeiro,2017,4170602.0,Sudeste
São Paulo,2017,11187566.0,Sudeste
Paraná,2017,3121299.0,Sul
Santa Catarina,2017,1742437.0,Sul
Rio Grande do Sul,2017,2633986.0,Sul
Mato Grosso do Sul,2017,888047.0,Centro-Oeste
Mato Grosso,2017,1074008.0,Centro-Oeste
Goiás,2017,1852394.0,Centro-Oeste
Distrito Federal,2017,910783.0,Centro-Oeste
Rondônia,2018,554429.0,Norte
Acre,2018,266548.0,Norte
Amazonas,2018,1435823.0,Norte
Roraima,2018,237162.0,Norte
Pará,2018,1994916.0,Norte
Amapá,2018,241570.0,Norte
Tocantins,2018,469306.0,Norte
Maranhão,2018,1808791.0,Nordeste
Piauí,2018,813143.0,Nordeste
Ceará,2018,2596746.0,Nordeste
Rio Grande do Norte,2018,773048.0,Nordeste
Paraíba,2018,974210.0,Nordeste
Pernambuco,2018,2410864.0,Nordeste
Alagoas,2018,926598.0,Nordeste
Sergipe,2018,574293.0,Nordeste
Bahia,2018,3165767.0,Nordeste
Minas Gerais,2018,5380265.0,Sudeste
Espírito Santo,2018,1042704.0,Sudeste
Rio de Janeiro,2018,3678944.0,Sudeste
São Paulo,2018,11407247.0,Sudeste
Paraná,2018,3143311.0,Sul
Santa Catarina,2018,1933449.0,Sul
Rio Grande do Sul,2018,2675382.0,Sul
Mato Grosso do Sul,2018,900946.0,Centro-Oeste
Mato Grosso,2018,1053524.0,Centro-Oeste
Goiás,2018,1764350.0,Centro-Oeste
Distrito Federal,2018,887622.0,Centro-Oeste
Rondônia,2019,344707.0,Norte
Acre,2019,183891.0,Norte
Amazonas,2019,996366.0,Norte
Roraima,2019,146819.0,Norte
Pará,2019,1299432.0,Norte
Amapá,2019,165800.0,Norte
Tocantins,2019,337453.0,Norte
