uf,ano,valor,regiao
Paraná,2004,80.6,Sul
Santa Catarina,2004,73.76,Sul
Rio Grande do Sul,2004,72.3,Sul
Mato Grosso do Sul,2004,75.55,Centro-Oeste
Mato Grosso,2004,82.44,Centro-Oeste
Goiás,2004,92.38,Centro-Oeste
Distrito Federal,2004,84.5,Centro-Oeste
Rondônia,2005,80.75,Norte
Acre,2005,72.09,Norte
Amazonas,2005,73.67,Norte
Roraima,2005,78.26,Norte
Pará,2005,89.17,Norte
Amapá,2005,81.02,Norte
Tocantins,2005,78.77,Norte
Maranhão,2005,83.49,Nordeste
Piauí,2005,76.6,Nordeste
Ceará,2005,78.84,Nordeste
Rio Grande do Norte,2005,72.55,Nordeste
Paraíba,2005,76.29,Nordeste
Pernambuco,2005,78.07,Nordeste
Alagoas,2005,76.6,Nordeste
Sergipe,2005,73.63,Nordeste
Bahia,2005,81.47,Nordeste
Minas Gerais,2005,77.68,Sudeste
Espírito Santo,2005,78.62,Sudeste
Rio de Janeiro,2005,75.26,Sudeste
São Paulo,2005,72.44,Sudeste
Paraná,2005,73.68,Sul
Santa Catarina,2005,74.02,Sul
Rio Grande do Sul,2005,70.25,Sul
Mato Grosso do Sul,2005,75.05,Centro-Oeste
Mato Grosso,2005,81.55,Centro-Oeste
Goiás,2005,81.91,Centro-Oeste
Distrito Federal,2005,77.52,Centro-Oeste
Rondônia,2006,84.44,Norte
Acre,2006,70.66,Norte
Amazonas,2006,74.81,Norte
Roraima,2006,74.22,Norte
Pará,2006,86.99,Norte
Amapá,2006,76.09,Norte
Tocantins,2006,78.68,Norte
Maranhão,2006,82.76,Nordeste
Piauí,2006,78.18,Nordeste
Ceará,2006,76.59,Nordeste
Rio Grande do Norte,2006,73.24,Nordeste
Paraíba,2006,76.74,Nordeste
Pernambuco,2006,76.81,Nordeste
Alagoas,2006,74.4,Nordeste
Sergipe,2006,73.28,Nordeste
Bahia,2006,80.36,Nordeste
Minas Gerais,2006,76.92,Sudeste
Espírito Santo,2006,77.39,Sudeste
Rio de Janeiro,2006,71.88,Sudeste
São Paulo,2006,71.6,Sudeste
Paraná,2006,74.62,Sul
Santa Catarina,2006,73.07,Sul
Rio Grande do Sul,2006,69.27,Sul
Mato Grosso do Sul,2006,76.7,Centro-Oeste
Mato Grosso,2006,79.43,Centro-Oeste
Goiás,2006,81.78,Centro-Oeste
Distrito Federal,2006,80.5,Centro-Oeste
Rondônia,2007,86.21,Norte
Acre,2007,80.54,Norte
Amazonas,2007,78.84,Norte
Roraima,2007,76.9,Norte
Pará,2007,87.87,Norte
Amapá,2007,76.76,Norte
Tocantins,2007,81.81,Norte
Maranhão,2007,87.34,Nordeste
Piauí,2007,80.34,Nordeste
Ceará,2007,78.58,Nordeste
Rio Grande do Norte,2007,74.52,Nordeste
Paraíba,2007,79.46,Nordeste
Pernambuco,2007,80.36,Nordeste
Alagoas,2007,72.64,Nordeste
Sergipe,2007,77.6,Nordeste
Bahia,2007,78.42,Nordeste
Minas Gerais,2007,77.3,Sudeste
Espírito Santo,2007,76.58,Sudeste
Rio de Janeiro,2007,71.89,Sudeste
São Paulo,2007,70.92,Sudeste
Paraná,2007,76.87,Sul
Santa Catarina,2007,73.51,Sul
Rio Grande do Sul,2007,68.75,Sul
Mato Grosso do Sul,2007,78.4,Centro-Oeste
Mato Grosso,2007,82.68,Centro-Oeste
Goiás,2007,84.69,Centro-Oeste
Distrito Federal,2007,84.21,Centro-Oeste
Rondônia,2008,82.39,Norte
Acre,2008,75.04,Norte
Amazonas,2008,76.4,Norte
Roraima,2008,71.13,Norte
Pará,2008,84.7,Norte
Amapá,2008,74.15,Norte
Tocantins,2008,79.42,Norte
Maranhão,2008,83.64,Nordeste
Piauí,2008,76.69,Nordeste
Ceará,2008,74.75,Nordeste
Rio Grande do Norte,2008,70.54,Nordeste
Paraíba,2008,74.71,Nordeste
Pernambuco,2008,75.91,Nordeste
Alagoas,2008,69.0,Nordeste
Sergipe,2008,75.27,Nordeste
Bahia,2008,74.57,Nordeste
Minas Gerais,2008,74.74,Sudeste
Espírito Santo,2008,75.19,Sudeste
Rio de Janeiro,2008,69.15,Sudeste
São Paulo,2008,69.7,Sudeste
Paraná,2008,73.64,Sul
Santa Catarina,2008,72.19,Sul
Rio Grande do Sul,2008,67.61,Sul
Mato Grosso do Sul,2008,74.89,Centro-Oeste
Mato Grosso,2008,78.12,Centro-Oeste
Goiás,2008,80.21,Centro-Oeste
Distrito Federal,2008,80.92,Centro-Oeste
Rondônia,2009,83.87,Norte
Acre,2009,79.18,Norte
Amazonas,2009,78.63,Norte
Roraima,2009,80.21,Norte
Pará,2009,84.02,Norte
Amapá,2009,84.31,Norte
Tocantins,2009,81.54,Norte
Maranhão,2009,84.62,Nordeste
Piauí,2009,78.11,Nordeste
Ceará,2009,76.1,Nordeste
Rio Grande do Norte,2009,72.82,Nordeste
Paraíba,2009,76.88,Nordeste
Pernambuco,2009,78.11,Nordeste
